Biara,,Não,
Biatriz,F,Não,
Bibi,,Não,
Bibiana,,Sim,
Bibila,,Não,
Bibili,F,Sim,
Bijal,F,Sim,
Bil,,Não,
Bila,,Não,
Bina,,Sim,
Bino,,Não,
Binta,,Não,
Binucha,,Não,
Birílio,,Não,
Birilo,,Não,
Bitia,F,Sim,
Biute,,Não,
Blacina,,Não,
Blaise,,Não,
Blandina,F,Sim,
Blásia,,Sim,
Bluete,,Não,
Boanerges,,Sim,
Boavida,,Sim,
Bolena,,Não,
Bonança,,Não,"só no conjunto ""Maria da Bonança"""
Bonina,,Não,
Bonita,,Não,
Bóris,M,Sim,
Bosco,,Não,"só no conjunto ""JOÃO BOSCO"""
Brain,,Não,
Branca,,Sim,
Branca Flor,,Sim,
Branco,,Não,
Brandão,M,Sim,
Brandelina,,Não,
Brás,M,Sim,
Brásia,,Sim,
Brasília,,Não,
Brasilina,,Não,
Brasilino,,Não,
Brasinda,,Não,
Bráulio,,Sim,
Brázia,,Sim,
Brelca,,Não,
Brena,,Sim,
Brenda,,Sim,
Brénea,,Não,
Breno,,Sim,
Brian,M,Sim,
Briana,F,Sim,
Briano,,Não,
Brice,,Sim,como segundo elemento do nome
Brícia,,Sim,
Brida,,Não,
Brígida,F,Sim,
Brígido,M,Sim,
Brigite,,Sim,
Brilhante,,Não,
Brilhantina,,Não,
Brilhantino,,Não,
Brino,,Não,
Briolanjo,,Sim,
Briosa,F,Sim,como segundo elemento do nome
Brisa,,Não,
Brita,,Não,
Britânia,,Não,
Brites,,Sim,
Brito,,Não,
Britta,,Não,
Britta Nórdica,,Não,
Brizelinda,,Não,
Brizida,F,Sim,
Bruce,,Sim,
Bruna,F,Sim,
Brunei,,Não,
Brúnel,,Não,
Brunilde,F,Sim,
Bruno,M,Sim,
Bryan,M,Sim,revoga o despacho anterior
Buanami,,Não,
Cácia,F,Sim,
Cacilda,,Não,
Cadia,,Não,
Cádio,,Não,
Cadu,,Não,
Cael,M,Sim,
Caetana,F,Sim,
Caetano,M,Sim,
Caia,F,Sim,
